Reaction ID,Number of Reaction Details,Reaction Rank,Record Type,Reactant,Product,Bin,Reaction,Reaction Details: Reaction Classification,Example label,Example title,Fulltext of reaction,Number of Reaction Steps,Multi-step Scheme,Multi-step Details,Number of Stages,Solid Phase,Time (Reaction Details) [h],Temperature (Reaction Details) [C],Pressure (Reaction Details) [Torr],pH-Value (Reaction Details),Other Conditions,Reaction Type,Subject Studied,Prototype Reaction,Named Reaction,Type of reaction description (Reaction Details),Location,Comment (Reaction Details),Product.1,Yield,Yield (numerical),Yield (optical),Stage Reactant,Reagent,Catalyst,Solvent (Reaction Details)
29154875,10,91,full reaction; has preparation,4-fluorobenzaldoxime,p-fluorobenzamide,198830,ON=CC1=CC=C(F)C=C1>>NC(=O)C1=CC=C(F)C=C1,Preparation,,,,1,,,,,12,110,,,Sealed tube,,,,,Experimental part,,,p-fluorobenzamide,99 percent,99,,,C55H45ClN5P2Ru(1+)*Cl(1-),,water
29154875,10,91,full reaction; has preparation,4-fluorobenzaldoxime,p-fluorobenzamide,198830,ON=CC1=CC=C(F)C=C1>>NC(=O)C1=CC=C(F)C=C1,Preparation,,,,1,,,,,12,110,,,Schlenk technique,,,,,Experimental part,,,p-fluorobenzamide,95 percent,95,,,[Cp*Ir(H2O)3][OTf ]2,,water
29154875,10,91,full reaction; has preparation,4-fluorobenzaldoxime,p-fluorobenzamide,198830,ON=CC1=CC=C(F)C=C1>>NC(=O)C1=CC=C(F)C=C1,Preparation,8,4-fluorobenzamide,"To a stirred solution of 4-fluorobenzaldehyde oxime (69.6 mg, 0.5 mmol), [Cp * Ir (H20) 3] [0Tf] 2 (5.0 mg, 0.0075 mmol, (1 ml) were added sequentially to a 25 ml Schlenk reaction flask. The reaction mixture was allowed to react at 110  C for 12 hours, then cooled to room temperature. The water was removed by rotary evaporation, and the product was isolated by column chromatography. Yield: 95%. 2H, ArH), 7.41 (br s, 1H, NH), 7.95-7.92 (m, 2H, ArH) (D, JCF = 246. 8 H z), 130.7 (d, JcF = l.9 & lt; RTIgt; z), & lt; / RTI & gt; ), 130. 0 (d, Jc F = 9. O ¦Æ), 115. 0 (d, Jc F = 21.4 ¦Æ¦Æ).",1,,,,,12,110,,,Schlenk technique,,,,,,Paragraph 0051-0055,,p-fluorobenzamide,95 percent,95,,,[Cp*Ir(H2O)3][OTf ]2,,water
29154875,10,91,full reaction; has preparation,4-fluorobenzaldoxime,p-fluorobenzamide,198830,ON=CC1=CC=C(F)C=C1>>NC(=O)C1=CC=C(F)C=C1,Preparation,,,,1,,,,,4,100,,,Sealed tube; Inert atmosphere,,,,,Experimental part,,,p-fluorobenzamide,89 percent,89,,,"cis,cis,trans-[RuCl2{¦Ê2-(P,N)-2-Ph2PC6H4CH=NOH}2]",,water
29154875,10,91,full reaction; has preparation,4-fluorobenzaldoxime,p-fluorobenzamide,198830,ON=CC1=CC=C(F)C=C1>>NC(=O)C1=CC=C(F)C=C1,Chemical behaviour,,,,1,,,,,6,100,,,Inert atmosphere; Sealed tube,,Catalytic behavior,,,Experimental part,,,p-fluorobenzamide,87 percent,87,,,[Ru(OTf){¦Ç6:¦Ê1(P)-PPh2-binaphthyl}{PPh2(OH)}][OTf],,water
29154875,10,91,full reaction; has preparation,4-fluorobenzaldoxime,p-fluorobenzamide,198830,ON=CC1=CC=C(F)C=C1>>NC(=O)C1=CC=C(F)C=C1,Preparation,,,,1,,,,,5,100,,,Inert atmosphere; Sealed tube,,,,,Experimental part,,,p-fluorobenzamide,86 percent,86,,,[RuCl2(¦Ç2-C6H6){P(NMe2)3}]; water,,
29154875,10,91,full reaction; has preparation,4-fluorobenzaldoxime,p-fluorobenzamide,198830,ON=CC1=CC=C(F)C=C1>>NC(=O)C1=CC=C(F)C=C1,Preparation,,,,1,,,,,20,100,,,Sealed tube; Neat (no solvent),Beckmann rearrangement,,,,,experimental part,,p-fluorobenzamide,85 percent,85,,,"silver tetrafluoroborate; chloro(1,3-bis(2,6-di-i-propylphenyl)imidazol-2-ylidene)gold(I)",,
29154875,10,91,full reaction; has preparation,4-fluorobenzaldoxime,p-fluorobenzamide,198830,ON=CC1=CC=C(F)C=C1>>NC(=O)C1=CC=C(F)C=C1,Preparation,,Preparation of amides from aldoximes; general procedures,"General procedure: To a 25 mL round-bottom flask equipped with a magnetic stirrer were added aldoximes (5 mmol), copper(II) acetate (45 mg, 0.25 mmol),acetonitrile (10 mg, 0.25 mmol) and EtOH (15 mL). The mixture was stirred for 4-8 h at 78 C or for 12 h at room temperature. After removal of the solvent, the residue was purified by column chromatography to afford the desired product.",1,,,,,6,78,,,,,,,,Experimental part,,chemoselective reaction,p-fluorobenzamide,85 percent,85,,,copper diacetate; acetonitrile,,ethanol
29154875,10,91,full reaction; has preparation,4-fluorobenzaldoxime,p-fluorobenzamide,198830,ON=CC1=CC=C(F)C=C1>>NC(=O)C1=CC=C(F)C=C1,Preparation,,2. Typical procedure for the use of a homogeneous catalyst,"General procedure: To a clean, oven dried reaction vessel was added a clean stirrer bar followed by 3 mmol of the required oxime. To this was added either 1 or 2 mol% Cu(OAc)2 (0.0060g / 0.0120g respectively), followed by toluene (0.75 mL) The vessel was gently warmed and allowed to stir for approximately 5 minutes or until dissolution was complete. The vessels were placed into the preheated carousel (80C) and run simultaneously for 24 hours.Following reaction the tubes were promptly removed and allowed to cool. The vessel was opened and contents diluted using sufficient dichloromethane (20 mL). The reaction products were then concentrated in vacuo and a crude sample submitted for NMR. Isolated yields were obtained using column chromatography through 35-70 micron dry silica using EtOAc: Hexane (3:1) as eluent. These were confirmed by NMR.",1,,,,,24,80,,,,,,,,,supporting information; experimental part,,p-fluorobenzamide,75 percent,75,,,copper diacetate,,toluene
29154875,10,91,full reaction; has preparation,4-fluorobenzaldoxime,p-fluorobenzamide,198830,ON=CC1=CC=C(F)C=C1>>NC(=O)C1=CC=C(F)C=C1,Chemical behaviour,,2.7. Application of CBNCS as a green reusable catalyst,"General procedure: All reactions were performed in a closed vial under microwave irradiation by using oxime (3 mmol) in toluene (1.5 ml) or acetonitrile (1.5 ml) with Cu NPs (5 mol%) at 120 C. The progress of each reaction was monitored by using thin-layer chromatography. After completion of the reaction, the reaction mixture was allowed to cool at room temperature and then poured into a conical flask containing 15 ml of ethanol. This reaction mixture was then centrifuged at 8000 rpm for 5 min at 25 C. The supernatant obtained was then used for the isolation of the products and residue was used to recover the catalyst by using the above-mentioned procedure. The isolated products were purified by column chromatography using Ethyl Acetate: Hexane (3:1) as eluent. All the synthesized amide products were characterized by NMR analysis.",1,,,,,,120,,,Microwave irradiation; Green chemistry,,Catalytic behavior,,,Experimental part,,,p-fluorobenzamide,92 percent,,,,bionanocomposite of Cu and Cu2O nanoparticles supported by nanocellulose,,toluene
29250861,21,91,full reaction; has preparation; has multi-step,¦Â-naphthaldehyde,2-naphthamide,290201,O=CC1=CC2=CC=CC=C2C=C1>>NC(=O)C1=CC2=CC=CC=C2C=C1,Preparation,,General procedure for conversion of aldehydes to primary amides,"General procedure: Aldehyde (0.5mmol), NH2OH¡¤HCl (0.6mmol) and Cs2CO3 (0.6mmol) were stirred at 125C for 48h in a 3:1 mixture of DMSO-H2O (2mL) under air. The progress of the reaction was monitored by TLC using ethyl acetate and hexane as eluent. After completion, the reaction mixture was cooled to room temperature and treated with water (1mL). The resulting mixture was extracted with ethyl acetate (3¡Á5mL). Drying (Na2SO4) and evaporation of the solvent gave a residue that was purified on silica gel column chromatography using ethyl acetate and hexane. The purified products were identified by 1H NMR spectra and the melting points comparison with the literature data.",1,,,,,48,125,,,,,,,,Experimental part,supporting information,,2-naphthamide,99 percent,99,,,hydroxylamine hydrochloride; caesium carbonate,,water; dimethyl sulfoxide
29250861,21,91,full reaction; has preparation; has multi-step,¦Â-naphthaldehyde,2-naphthamide,290201,O=CC1=CC2=CC=CC=C2C=C1>>NC(=O)C1=CC2=CC=CC=C2C=C1,Chemical behaviour,,2.4. General procedure for the syntheses of primary amides from aldehydes,"General procedure: A mixture of aldehyde (1 mmol), hydroxylamine hydrochloride (1 mmol), NaHCO3 (1 mmol) and the Ru catalyst C2 (0.5 mol %) were reacted in acetonitrile (5 ml) under refllux for 5 h. After completion of the reaction, the mixture was cooled to room temperature. Then acetonitrile was removed under pressure and reaction mixture was added with ethylacetate and filtered through celite bed to remove catalyst and unreacted base. The filtrate containing crude product was reduced under pressure and purified by column chromatography using MeOH/DCM to obtain corresponding amide.",1,,,,,5,,,,Reflux,,Catalytic behavior,,,Experimental part,,,2-naphthamide,89 percent,89,,,hydroxylamine hydrochloride; sodium hydrogencarbonate; [Ru(¦Ç6-p-cymene)(Cl)(N¡¯-((anthracen-10-yl)methylene)isonicotinohydrazide)],,acetonitrile
29250861,21,91,full reaction; has preparation; has multi-step,¦Â-naphthaldehyde,2-naphthamide,290201,O=CC1=CC2=CC=CC=C2C=C1>>NC(=O)C1=CC2=CC=CC=C2C=C1,Preparation,,,,1,,,,,6,20 - 110,,,Schlenk technique; Inert atmosphere,,,,,Experimental part,supporting information,,2-naphthamide,87 percent,87,,,bis(triphenylphosphine)nickel(II) chloride; hydroxylamine hydrochloride; sodium hydrogencarbonate,,toluene
29250861,21,91,full reaction; has preparation; has multi-step,¦Â-naphthaldehyde,2-naphthamide,290201,O=CC1=CC2=CC=CC=C2C=C1>>NC(=O)C1=CC2=CC=CC=C2C=C1,Preparation,,,,1,,,2.0,,18,100; 100,,,,,,,,,experimental part,chemoselective reaction,2-naphthamide,83 percent,83,,¦Â-naphthaldehyde,hydroxylamine hydrochloride; caesium carbonate; palladium diacetate,,water; dimethyl sulfoxide; water; dimethyl sulfoxide
29250861,21,91,full reaction; has preparation; has multi-step,¦Â-naphthaldehyde,2-naphthamide,290201,O=CC1=CC2=CC=CC=C2C=C1>>NC(=O)C1=CC2=CC=CC=C2C=C1,Preparation,,General procedure for the catalytic transformation of aldehydes to amides,"General procedure: The complexes (1-3) (0.002mmol), the aldehyde (1mmol), NH2OH¡¤HCl (1mmol) and NaHCO3 (1mmol) were introduced in a dried schlenk tube and purged with N2. Then, to the mixture, dried and degassed toluene (2mL) was added, and the solution was refluxed for 12h. The mixture was cooled to room temperature and the products were extracted with methanol and dichloromethane before being filtered through Celite to remove the remaining complex. The amide was purified using column chromatography, and dried under vacuum. Characterization details for each amide are given in the Supporting information.",1,,,,,12,110,,,Inert atmosphere; Schlenk technique,,,Reagent/catalyst,,Experimental part,,,2-naphthamide,77 percent,77,,,C49H54Cl2Ir2N2O6; hydroxylamine hydrochloride; sodium hydrogencarbonate,,toluene
29250861,21,91,full reaction; has preparation; has multi-step,¦Â-naphthaldehyde,2-naphthamide,290201,O=CC1=CC2=CC=CC=C2C=C1>>NC(=O)C1=CC2=CC=CC=C2C=C1,Preparation,,General experimental procedure for the synthesis of substituted benzamide derivatives:,"General procedure: To a stirred solution of acetonitrile (10 mL), aldehyde (1.0 mmol) and bioglycerol-based carbon catalyst (10 wt %) were added and stirred for 10 min. To this NH2OH¡¤HCl (1.0 mmol) followed by Cs2CO3 (1.0 mmol) were added, after which the reaction mixture was heated at 60-65 C until completion of the reaction as indicated by TLC. The reaction mixture was cooled to room temperature and catalyst was filtered, the solvent was removed by rotary evaporator. The crude residue was extracted with ethyl acetate (3 ¡Á 10 mL). The combined organic layers were extracted with water, saturated brine solution, and dried over anhydrous Na2SO4. The organic layers were evaporated under reduced pressure and the resulting crude product was purified by column chromatography using ethyl acetate and hexane (2:8) as eluents to give the corresponding substituted benzamide derivative in (71-78%) yield. The identity and purity of the product were confirmed by 1H, 13C NMR, and mass spectra.",1,,,,,,60 - 65,,,,,,,,,supporting information; experimental part,,2-naphthamide,74 percent,74,,,hydroxylamine hydrochloride; caesium carbonate,,acetonitrile
29250861,21,91,full reaction; has preparation; has multi-step,¦Â-naphthaldehyde,2-naphthamide,290201,O=CC1=CC2=CC=CC=C2C=C1>>NC(=O)C1=CC2=CC=CC=C2C=C1,Preparation,73,Example 73 Naphthalene-2-carboxamide,"Take a reaction tube, add 60-100mg (1.2mmol) of nitromethane, 30-60mg (0.3mmol) of naphthalene-2-carboxaldehyde, 0.5mL of acetic acid, 150-200mg (0.6mmol) of trifluoromethanesulfonic anhydride, and 30-200mg (0.6mmol) of formic acid. 60 mg (0.75 mmol), stirred at 80-120C for 1-72 hours. After the reaction was completed, 10 mL of sodium hydroxide solution was added to quench the reaction, extracted with ethyl acetate 3 times, the organic phase was washed with 5 mL of brine, and the organic phases were combined and separated by column chromatography to obtain 38.0 mg of naphthalene-2-carboxamide with a yield of 74%. .",1,,,,,,80 - 120,,,,,,,,,Paragraph 0344-0346,,2-naphthamide,74 percent,74,,,nitromethane; trifluoromethylsulfonic anhydride; acetic acid,,formic acid
29250861,21,91,full reaction; has preparation; has multi-step,¦Â-naphthaldehyde,2-naphthamide,290201,O=CC1=CC2=CC=CC=C2C=C1>>NC(=O)C1=CC2=CC=CC=C2C=C1,Preparation,,,,1,,,,,12,100,,,,,,,,Experimental part,supporting information,,2-naphthamide,74 percent,74,,,formic acid; nitromethane; trifluoromethylsulfonic anhydride,,acetic acid
29250861,21,91,full reaction; has preparation; has multi-step,¦Â-naphthaldehyde,2-naphthamide,290201,O=CC1=CC2=CC=CC=C2C=C1>>NC(=O)C1=CC2=CC=CC=C2C=C1,Preparation,,4.2. General procedure for the synthesis of amides,"General procedure: To a solution of copper(II) acetate (0.04 mmol) in water (1 mL) were added the corresponding aldehyde (3, 2 mmol) and the hydroxylamine (4, 2 mmol). After 2 days stirring at 110 C the mixture was quenched with a saturated solution of ammonium chloride (10 mL), or added ether (2 mL) for the recycling process. The mixture was extracted with AcOEt (3¡Á10 mL) and washed with brine (10 mL), after drying with anhydrous MgSO4, the organic layer was filtered on Celite and the solvents were removed under low pressure (15-18 Torr). The product was purified recrystallization from chloroform/hexane mixtures to give the corresponding product 2. Amides 2a,262b,272c, 272d,172e,282f,292g,272h,172j,302k,172l30 and 2m17 are commercially available and were characterized by comparison of their physical and spectroscopic data with those of pure examples. Yields are included in Table 4 (Fig. 1 for recycling processes). Physical and spectroscopic data, as well as literature data for known compounds, follow.",1,,,,,48,110,,,,,,,,,experimental part,,2-naphthamide,72 percent,72,,,hydroxylamine; copper diacetate,,water
29250861,21,91,full reaction; has preparation; has multi-step,¦Â-naphthaldehyde,2-naphthamide,290201,O=CC1=CC2=CC=CC=C2C=C1>>NC(=O)C1=CC2=CC=CC=C2C=C1,Preparation,,,,1,,,,,48,125,,,,,,,,Experimental part,supporting information,,2-naphthamide,58 percent,58,,,hydroxylamine hydrochloride; caesium carbonate,,water; dimethyl sulfoxide
29250861,21,91,full reaction; has preparation; has multi-step,¦Â-naphthaldehyde,2-naphthamide,290201,O=CC1=CC2=CC=CC=C2C=C1>>NC(=O)C1=CC2=CC=CC=C2C=C1,Preparation,,,,1,,,,,0.0833333,0 - 250,150015,,,,,,,Experimental part,,,2-naphthamide,52 percent,52,,,hydroxylamine hydrochloride; caesium carbonate,,tetrahydrofuran; water
29250861,21,91,full reaction; has preparation; has multi-step,¦Â-naphthaldehyde,2-naphthamide,290201,O=CC1=CC2=CC=CC=C2C=C1>>NC(=O)C1=CC2=CC=CC=C2C=C1,Preparation,,,,1,,,,,4,80,,,Inert atmosphere,,,,,Experimental part,,,2-naphthamide,47 percent,47,,,copper(I) oxide; potassium carbonate; ammonium chloride,,water; acetonitrile
29250861,21,91,full reaction; has preparation; has multi-step,¦Â-naphthaldehyde,2-naphthamide,290201,O=CC1=CC2=CC=CC=C2C=C1>>NC(=O)C1=CC2=CC=CC=C2C=C1,Preparation,,,,1,,,,,3,130,2280.15,,Autoclave; Green chemistry,,,,,Scheme or table,,,2-naphthamide,> 99 percentChromat.,,,,ammonium hydroxide; cryptomelane; oxygen,,"1,4-dioxane"
29250861,21,91,full reaction; has preparation; has multi-step,¦Â-naphthaldehyde,2-naphthamide,290201,O=CC1=CC2=CC=CC=C2C=C1>>NC(=O)C1=CC2=CC=CC=C2C=C1,Chemical behaviour,,2.7 Representative procedure for ruthenium-catalyzedaldehydes to amides conversion,"General procedure: The reaction vessel was charged with aldehyde (1mmol), NH2OH¡¤HCl (1 mmol), NaHCO3 (1 mmol),[Ru-NHC] catalyst (0.5 mol %) and the mixture wasplaced under an atmosphere of N2. About 2 mL of dryand degassed toluene was added and the mixture wasstirred for 15 min at room temperature followed byreflux for 8 h. On completion of the reaction, 2-3 mLmethanol was added to the mixture followed by filtrationthrough Celite to remove the catalyst and NaHCO3.The crude product was then purified by column chromatography(MeOH/CH2Cl2, 1:1) using silica (200-400 mesh) as solid phase provided the amide in goodyield. The resultant amide solution was subjected to GCanalysis and the product was identified in comparisonwith authentic samples",1,,,,,8.25,20 - 110,,,Inert atmosphere; Schlenk technique,,Catalytic behavior,,,Experimental part,,,,,,,,C33H27ClN3OPRu; hydroxylamine hydrochloride; sodium hydrogencarbonate,,toluene
29250861,21,91,full reaction; has preparation; has multi-step,¦Â-naphthaldehyde,2-naphthamide,290201,O=CC1=CC2=CC=CC=C2C=C1>>NC(=O)C1=CC2=CC=CC=C2C=C1,Preparation,,4.3. General procedure for the catalytic transformation of aldehydeto amide,"General procedure: Compound 3 (0.002 mmol), the aldehyde (1 mmol), NH2OHHCl(1 mmol) and NaHCO3 (1 mmol) were introduced in a dried schlenktube and purged with N2. Then, to the mixture, dried and degassedtoluene (2 ml) was added and the mixture was stirred for about10 min at room temperature, before the solution was refluxed understirring for 2 h. The mixture was cooled and the products wereextracted with methanol and dichloromethane before beingfiltered through celite to remove the remaining catalyst andNaHCO3. The crude amide was purified using column chromatography,and dried under vacuum.",1,,,,,2,110,,,Inert atmosphere; Schlenk technique,,,,,Experimental part,,,2-naphthamide,85 percentChromat.,,,,C23H27Cl2N3Rh(1+)*C24H20B(1-); hydroxylamine hydrochloride; sodium hydrogencarbonate,,toluene
29250861,21,91,full reaction; has preparation; has multi-step,¦Â-naphthaldehyde,2-naphthamide,290201,O=CC1=CC2=CC=CC=C2C=C1>>NC(=O)C1=CC2=CC=CC=C2C=C1,Preparation,,,,1,,,,,,,,,Reflux,,,,,Experimental part,,,2-naphthamide,51 percent,,,,hydroxylamine hydrochloride; sodium carbonate,,water
29250861,21,91,full reaction; has preparation; has multi-step,¦Â-naphthaldehyde,2-naphthamide,290201,O=CC1=CC2=CC=CC=C2C=C1>>NC(=O)C1=CC2=CC=CC=C2C=C1,Chemical behaviour,,3.4. General procedure for the catalytic organic transformations of aldehyde to amide,"General procedure: The complex(4) (0.002 mmol), the aldehyde (1 mmol), NH2OHHCl (1 mmol) and NaHCO3 (2.5 mmol) were introduced in an oven dried schlenk tube with a stir bar. To the above mixture, dried and 2 ml degassed toluene was added and purged with N2. The reactions were allowed to reflux at 110 C in an oil bath. After the specified time, the flask was removed from the oil bath. Then, the mixture was cooled to room temperature and the products were extracted with organic solvents before being filtered through celite to remove the complex. The solution was evaporated under reduced pressure and purified using column chromatography and dried under vacuum. Benzamide (Entry 1, Table 7): Colour: White solid. FT-IR (KBr, ¦Í,cm-1): 3369 (N-H), 1655 (C-O). 1H NMR (25 C, CDCl3, 400 MHz,): ¦Ä (ppm) = 7.82 (d, 3JHH = 7.2 Hz, 2H, Haromatic), 7.52 (d, 1H, Haromatic), 7.44 (t, 2H, Haromatic), 6.15 (b, 2H, NH), 13C NMR (100 MHz, CDCl3, 25C): ¦Ä (ppm) = 169.5, 133.3, 132.0 128.6, 127.3.",1,,,,,,110,,,Inert atmosphere,,Catalytic behavior,,,Experimental part,,,,,,,,hydroxylamine hydrochloride; sodium hydrogencarbonate; C101H84As4Cl4N2O6Ru2,,toluene
29250861,21,91,full reaction; has preparation; has multi-step,¦Â-naphthaldehyde,2-naphthamide,290201,O=CC1=CC2=CC=CC=C2C=C1>>NC(=O)C1=CC2=CC=CC=C2C=C1,Preparation,,4.3. General procedure for the catalytic transformation of aldehydes toamides,"General procedure: To an oven-dried Schlenk tube, complex 3 (0.002 mmol), aldehyde(1 mmol), NH2OHHCl (1 mmol) and NaHCO3 (1 mmol) were mixedtogether and the mixture was placed under an atmosphere of N2. Dryand degassed toluene (2 ml) was added and the mixture was refluxed forthe appropriate amount of time. On completion, the mixture was cooledto room temperature and the products were extracted with dichloromethanebefore being filtered through celite to remove the remainingunwanted components. The crude product was then extracted usingsilica gel chromatography (MeOH/CH2Cl2). The yield of the amide wasdetermined in situ by 1H NMR spectroscopy (integrations of Haldehyde vsHamide).",1,,,,,,,,,Reflux; Schlenk technique; Inert atmosphere,,,,,Experimental part,,,2-naphthamide,90 percentSpectr.,,,,hydroxylamine hydrochloride; sodium hydrogencarbonate; C23H27Cl2IrN3(1+)*C24H20B(1-),,toluene
29472282,8,91,full reaction; has preparation,3-chlorobenzaldehyde oxime,3-chlorobenzamide,,ON=CC1=CC=CC(Cl)=C1>>NC(=O)C1=CC(Cl)=CC=C1,Preparation,,,,1,,,,,12,110,,,Sealed tube,,,,,Experimental part,,,3-chlorobenzamide,95 percent,95,,,C55H45ClN5P2Ru(1+)*Cl(1-),,water
29472282,8,91,full reaction; has preparation,3-chlorobenzaldehyde oxime,3-chlorobenzamide,,ON=CC1=CC=CC(Cl)=C1>>NC(=O)C1=CC(Cl)=CC=C1,Preparation,,,,1,,,,,18,,,,Reflux,,,,,,supporting information; experimental part,,3-chlorobenzamide,91 percent,91,,,zinc(II) chloride,,n-heptane
29472282,8,91,full reaction; has preparation,3-chlorobenzaldehyde oxime,3-chlorobenzamide,,ON=CC1=CC=CC(Cl)=C1>>NC(=O)C1=CC(Cl)=CC=C1,Preparation,,,,1,,,,,1,20,,,Green chemistry,Beckmann Rearrangement,,,,Experimental part,,,3-chlorobenzamide,91 percent,91,,,Cu(II) on nano silica functionalized triazine dendrimer,,water
29472282,8,91,full reaction; has preparation,3-chlorobenzaldehyde oxime,3-chlorobenzamide,,ON=CC1=CC=CC(Cl)=C1>>NC(=O)C1=CC(Cl)=CC=C1,Preparation,,,,1,,,,,0.916667,100,,,Green chemistry,Beckmann Rearrangement,,,,Experimental part,,,3-chlorobenzamide,90 percent,90,,,Cu(II)-metformin immobilized ongraphene oxide,,water
29472282,8,91,full reaction; has preparation,3-chlorobenzaldehyde oxime,3-chlorobenzamide,,ON=CC1=CC=CC(Cl)=C1>>NC(=O)C1=CC(Cl)=CC=C1,Preparation,,,,1,,,,,7,100,,,Inert atmosphere; Schlenk technique,,,,,Experimental part,,,3-chlorobenzamide,85 percent,85,,,C19H23Cl2N6PRuS3*3ClH; water,,
29472282,8,91,full reaction; has preparation,3-chlorobenzaldehyde oxime,3-chlorobenzamide,,ON=CC1=CC=CC(Cl)=C1>>NC(=O)C1=CC(Cl)=CC=C1,Preparation,,,,1,,,,,24,100,,,Inert atmosphere; Sealed tube,,,,,Experimental part,,,3-chlorobenzamide,85 percent,85,,,"[PdCl2{¦Ê2-(P,N)-2-Ph2PC6H4CH=NOH}]",,water
29472282,8,91,full reaction; has preparation,3-chlorobenzaldehyde oxime,3-chlorobenzamide,,ON=CC1=CC=CC(Cl)=C1>>NC(=O)C1=CC(Cl)=CC=C1,Preparation,,,,1,,,,,1,100,,,Inert atmosphere; Sealed tube,,,,,Experimental part,,,3-chlorobenzamide,84 percent,84,,,[RuCl2(¦Ç2-C6H6){P(NMe2)3}]; water,,
29472282,8,91,full reaction; has preparation,3-chlorobenzaldehyde oxime,3-chlorobenzamide,,ON=CC1=CC=CC(Cl)=C1>>NC(=O)C1=CC(Cl)=CC=C1,Preparation,,,,1,,,,,3,100,,,Sealed tube; Inert atmosphere,,,,,Experimental part,,,3-chlorobenzamide,83 percent,83,,,"cis,cis,trans-[RuCl2{¦Ê2-(P,N)-2-Ph2PC6H4CH=NOH}2]",,water
31054013,1,91,full reaction; has preparation,methyl (Z)-3-hydroxyimino-12-oxo-deoxycholicate,"methyl 4,12-dioxy-3-aza-A-homo-7-deoxycholicate",298454,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C\C(CC[C@]4(C)[C@@]3([H])CC(=O)[C@]12C)=N/O)[C@H](C)CCC(=O)OC>>[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])CC(=O)NCC[C@]4(C)[C@@]3([H])CC(=O)[C@]12C)[C@H](C)CCC(=O)OC,Preparation,,"The synthesis of methyl 4,12-dioxy-3-aza-A-homo-7-deoxycholicate (11)","Freshly distilled thionyl chloride (1.4 mL) in 4mL dry THF was added dropwise to a solution of methyl (Z)-3-hydroxyimino-12-oxo-deoxycholicate (10, 300 mg, 0.72 mmol) in 12mL dry THF cooled to 0 C, while maintaining the temperature at 0 C. After this addition, the reaction mixture was stirred at 0-10 C for 90 min under a argon atmosphere. The mixture was then poured into ice-water, neutralized with a solution of NH3, and extracted with DCM. The organic layer was washed with water and saturated brine, dried over anhydrous Na2SO4. Evaporation of the solvent under reduced pressure gave a solid residue, which was chromatographed over silica gel using petroleum ether (60-90 C)/EtOAc (1:3) as the eluent to give 220 mg(73%) of 11 as a white solid.",1,,,,,1.5,0 - 10,,,Inert atmosphere,Beckmann rearrangement,,,,,experimental part,,"methyl 4,12-dioxy-3-aza-A-homo-7-deoxycholicate",73 percent,73,,,thionyl chloride,,tetrahydrofuran
31272758,7,91,full reaction; has preparation,2-naphthaldoxime,2-naphthamide,198830,ON=CC1=CC=C2C=CC=CC2=C1>>NC(=O)C1=CC2=CC=CC=C2C=C1,Preparation,18,2-naphthamide,"2-naphthalenecarbaldehyde oxime 2-naphthalenecarbaldehyde oxime (85.6 mg, 0.5 mmol), [Cp * Ir (H20) 3] [0Tf] 2 (10.2 mg, 0. 0150 mmol, ) And water (1 ml) were added sequentially to a 25 ml Schlenk reaction flask. The reaction mixture was allowed to react at 110  C for 12 hours After cooling to room temperature, water was removed by rotary evaporation, and the product was isolated by column chromatography to give the title compound in a yield of 86%. (S, lH, ArH), 8.01-7.96 (m, 4H, ArH), 7. 62- [ 13C NMR (125 MHz, DMS0-d6)? 168. 0, 134. 2, 132. 1, 131. 6, 128. (1 H, 9, 127. 8, 127. 8, 127. 6, 126. 6, 124. 4.",1,,,,,12,110,,,Schlenk technique,,,,,,Paragraph 0099-0103,,2-naphthamide,86 percent,86,,,[Cp*Ir(H2O)3][OTf ]2,,water
31272758,7,91,full reaction; has preparation,2-naphthaldoxime,2-naphthamide,198830,ON=CC1=CC=C2C=CC=CC2=C1>>NC(=O)C1=CC2=CC=CC=C2C=C1,Preparation,,,,1,,,,,2,80,,,Microwave irradiation,,,,,,scheme or table,,2-naphthamide,80 percent,80,,,copper diacetate,,toluene
31272758,7,91,full reaction; has preparation,2-naphthaldoxime,2-naphthamide,198830,ON=CC1=CC=C2C=CC=CC2=C1>>NC(=O)C1=CC2=CC=CC=C2C=C1,Preparation,,,,1,,,,,5,100,,,Inert atmosphere; Sealed tube,,,,,Experimental part,,,2-naphthamide,80 percent,80,,,[RuCl2(¦Ç2-C6H6){P(NMe2)3}]; water,,
31272758,7,91,full reaction; has preparation,2-naphthaldoxime,2-naphthamide,198830,ON=CC1=CC=C2C=CC=CC2=C1>>NC(=O)C1=CC2=CC=CC=C2C=C1,Preparation,,,,1,,,,,12,110,,,Schlenk technique,,,,,Experimental part,,,2-naphthamide,80 percent,80,,,[Cp*Ir(H2O)3][OTf ]2,,water
31272758,7,91,full reaction; has preparation,2-naphthaldoxime,2-naphthamide,198830,ON=CC1=CC=C2C=CC=CC2=C1>>NC(=O)C1=CC2=CC=CC=C2C=C1,Chemical behaviour,,,,1,,,,,3,80,,,Green chemistry,Beckmann Rearrangement,Catalytic behavior,Time,,Experimental part,,,2-naphthamide,75 percent,75,,,Cu(II) complex on SiO2-coated Fe3O4 nanoparticles,,
